scenario,step,Ta_cvx_raw,Ta_cvx_applied,Ta_snn_raw,Ta_snn_applied,control_diff_e_u,cvxpy_objective,cvxpy_status,snn_objective,snn_converged,snn_verified_converged,snn_iterations,snn_max_iterations,snn_constraint_residual,snn_constraint_residual_scaled,snn_bound_violation,snn_clipped,cvxpy_clipped,objective_gap_snn_vs_reference,Tc1_cvx,Tc2_cvx,Tc3_cvx,alpha1_cvx,alpha2_cvx,alpha3_cvx,Tc1_snn,Tc2_snn,Tc3_snn,alpha1_snn,alpha2_snn,alpha3_snn,rho_Ap_cvx,rho_Ap_snn,qp_fingerprint_cvx,qp_fingerprint_snn,slew_saturated_cvx,slew_saturated_snn
nominal_heatup,0,32.0,32.0,32.0,32.0,0.0,-95998.82400563429,optimal,-96015.17320534943,False,False,8000,8000,0.008296790798013376,0.012086652467869108,10.0,0,0,,28.0,28.0,28.0,1e-05,1e-05,1e-05,28.0,28.0,28.0,1e-05,1e-05,1e-05,1.0000008521941652,1.0000008521941652,cf16d6dcdbba5e96,cf16d6dcdbba5e96,True,True
nominal_heatup,1,36.0,36.0,36.0063492855756,36.0,0.0,-106602.11836433185,optimal,-106627.82430384892,False,False,8000,8000,0.01285296705363237,0.01867445630775233,10.0,1,0,,28.000000056399145,28.000000056399145,28.000000056399145,1.0001630922571259e-05,1.0001630922571259e-05,1.0001630922571259e-05,28.000000056399145,28.000000056399145,28.000000056399145,1.0001630922571259e-05,1.0001630922571259e-05,1.0001630922571259e-05,1.0000008522669996,1.0000008522669996,2e328ea56c7cd9b6,2e328ea56c7cd9b6,True,True
nominal_heatup,2,40.00000000000001,40.00000000000001,40.00000000000001,40.0,-7.105427357601002e-15,-117129.27120926857,optimal,-117145.47386388177,False,False,8000,8000,0.011575759715157119,0.01692728171787916,10.0,0,0,,28.000000112803107,28.000000112803107,28.000000091841084,1.0003261984532805e-05,1.0003261984532805e-05,1.0003261984532805e-05,28.000000112803107,28.000000112803107,28.000000091841084,1.0003261984532805e-05,1.0003261984532805e-05,1.0003261984532805e-05,1.0000008523398338,1.0000008523398338,27471e481eb0037c,27471e481eb0037c,True,True
nominal_heatup,3,44.00000000000001,44.00000000000001,44.0041093418828,44.0,-7.105427357601002e-15,-127560.71461505513,optimal,-127579.17419334351,False,False,8000,8000,0.004170190374530591,0.00851677223239733,10.0,1,0,-0.00014471209528826843,28.00000016921189,28.00000016142088,28.000000128607986,1.0004893185885736e-05,1.0004893185885736e-05,1.0004893185878145e-05,28.00000016921189,28.00000016142088,28.000000128607986,1.0004893185885736e-05,1.0004893185885736e-05,1.0004893185878145e-05,1.000000852412668,1.000000852412668,bc7dc74b29c7a69b,bc7dc74b29c7a69b,True,True
nominal_heatup,4,48.00000000000001,48.00000000000001,48.0,48.0,-7.105427357601002e-15,-137877.66932309937,optimal,-137886.7249322235,False,False,8000,8000,0.00585802265730706,0.008566210967572374,10.0,0,0,-6.567857702112633e-05,28.00000021983408,28.000000208534534,28.00000016274716,1.0006524526631151e-05,1.0006524526628329e-05,1.0006524526608854e-05,28.00000021983408,28.000000208534534,28.00000016274716,1.0006524526631151e-05,1.0006524526628329e-05,1.0006524526608854e-05,1.000000852485502,1.000000852485502,167f22f2007b1b7b,167f22f2007b1b7b,True,True
nominal_heatup,5,52.000000000000014,52.000000000000014,52.0039350675811,52.0,-1.4210854715202004e-14,-148066.06891524495,optimal,-148079.47576223998,False,False,8000,8000,0.003969575670211611,0.00815558190657839,10.0,1,0,-9.054638306587493e-05,28.00000026785304,28.000000252134775,28.015534364180088,1.0008156006768049e-05,1.0008156006761134e-05,1.0008156006725072e-05,28.00000026785304,28.000000252134775,28.015534364180088,1.0008156006768049e-05,1.0008156006761134e-05,1.0008156006725072e-05,1.0000008535389835,1.0000008535389835,f94c35af10199129,f94c35af10199129,True,True
nominal_heatup,6,56.000000000000014,56.000000000000014,56.00000000000001,56.0,-1.4210854715202004e-14,-158106.71679597168,optimal,-158117.4456574934,False,False,8000,8000,0.0067255866524220664,0.009771803939144341,10.0,0,0,-6.785835377000401e-05,28.000000312592185,28.00577391978186,28.057459750004423,1.000978762629658e-05,1.000978762628397e-05,1.0009793262776227e-05,28.000000312592185,28.00577391978186,28.057459750004423,1.000978762629658e-05,1.000978762628397e-05,1.0009793262776227e-05,1.0000008566302483,1.0000008566302483,bdbed9df60d2468d,bdbed9df60d2468d,True,True
nominal_heatup,7,60.00000000000002,60.00000000000002,60.003266910003596,60.0,-2.1316282072803006e-14,-167979.73405210197,optimal,-167991.49622779712,False,False,8000,8000,0.006533951142714045,0.009493371034273501,10.0,1,0,-7.002139729287645e-05,28.004292153377847,28.022838296226645,28.135109522234508,1.001141938521665e-05,1.0011421478125678e-05,1.0011445967490528e-05,28.004292153377847,28.022838296226645,28.135109522234508,1.001141938521665e-05,1.0011421478125678e-05,1.0011445967490528e-05,1.0000008630022164,1.0000008630022164,c9740d78ed75e56b,c9740d78ed75e56b,True,True
nominal_heatup,8,64.00000000000003,64.00000000000003,64.00321691336801,64.0,-2.842170943040401e-14,-177665.40055867797,optimal,-177676.1074502337,False,False,8000,8000,0.006433955864721952,0.009348084934823753,10.0,1,0,-6.026435942037954e-05,28.01807839987666,28.057673407757182,28.254795432951447,1.0013052839181873e-05,1.0013061671269752e-05,1.0013127537634136e-05,28.01807839987666,28.057673407757182,28.254795432951447,1.0013052839181873e-05,1.0013061671269752e-05,1.0013127537634136e-05,1.0000008738881738,1.0000008738881738,862a0937b312a227,862a0937b312a227,True,True
nominal_heatup,9,68.00000000000003,68.00000000000003,68.00318232172191,68.0,-2.842170943040401e-14,-187142.34228568219,optimal,-187146.79462151762,False,False,8000,8000,0.006364771184081519,0.009247564464330615,10.0,1,0,-2.3791172970715984e-05,28.047511223592842,28.11622195693027,28.42117301871507,1.0014691440074805e-05,1.0014714737108251e-05,1.0014854481868797e-05,28.047511223592842,28.11622195693027,28.42117301871507,1.0014691440074805e-05,1.0014714737108251e-05,1.0014854481868797e-05,1.0000008905547881,1.0000008905547881,93173fa1627b55b6,93173fa1627b55b6,True,True
nominal_heatup,10,72.00000000000003,72.00000000000003,72.0,72.0,-2.842170943040401e-14,-196384.77948680348,optimal,-196381.0597775191,False,False,8000,8000,0.005336237976123925,0.007733864025650128,10.0,0,0,1.8940924515656822e-05,28.098587088330618,28.204026095810903,28.637444447596287,1.0016340922523065e-05,1.0016389563010768e-05,1.0016646422525322e-05,28.098587088330618,28.204026095810903,28.637444447596287,1.0016340922523065e-05,1.0016389563010768e-05,1.0016646422525322e-05,1.0000009143124624,1.0000009143124624,8b4cfa82049e50f8,8b4cfa82049e50f8,True,True
nominal_heatup,11,76.00000000000003,76.00000000000003,76.0,76.0,-2.842170943040401e-14,-205373.05778345736,optimal,-205363.06009199104,False,False,8000,8000,0.004534639992115785,0.006572099906574813,10.0,0,0,4.868063792885557e-05,28.17696474743232,28.325927123648107,28.905878723964744,1.001800935059378e-05,1.0018097472067574e-05,1.0018526362451092e-05,28.17696474743232,28.325927123648107,28.905878723964744,1.001800935059378e-05,1.0018097472067574e-05,1.0018526362451092e-05,1.0000009465851527,1.0000009465851527,8ea45fc491ca365b,8ea45fc491ca365b,True,True
nominal_heatup,12,80.00000000000001,80.00000000000001,80.0,80.0,-1.4210854715202004e-14,-214088.40840139062,optimal,-214075.31886759208,False,False,8000,8000,0.008603136487408847,0.012580402372588395,10.0,0,0,,28.287695303581557,28.48611411336325,29.228022559149494,1.0019707186055292e-05,1.0019852307914455e-05,1.0020521334415317e-05,28.287695303581557,28.48611411336325,29.228022559149494,1.0019707186055292e-05,1.0019852307914455e-05,1.0020521334415317e-05,1.000000988985778,1.000000988985778,b37574cac608723e,b37574cac608723e,True,True
nominal_heatup,13,84.00000000000001,84.00000000000001,84.0,84.0,-1.4210854715202004e-14,-222512.43116136317,optimal,-222489.50990331252,False,False,8000,8000,0.0076474780356932115,0.011085556422743004,10.0,0,0,,28.435189073687383,28.68811443723295,29.60491107244096,1.0021447366458453e-05,1.0021670668093506e-05,1.002266335713411e-05,28.435189073687383,28.68811443723295,29.60491107244096,1.0021447366458453e-05,1.0021670668093506e-05,1.002266335713411e-05,1.0000010434153785,1.0000010434153785,d70bd621a1477565,d70bd621a1477565,True,True
nominal_heatup,14,88.0,88.0,88.0,88.0,0.0,-230627.10977855098,optimal,-230604.21017407032,False,False,8000,8000,0.008289626880880974,0.01212195596760779,10.0,0,0,,28.623200041918288,28.934857331659494,30.03718676868891,1.0023245495954168e-05,1.0023572281445382e-05,1.0024990765584491e-05,28.623200041918288,28.934857331659494,30.037186768688905,1.0023245495954168e-05,1.0023572281445382e-05,1.0024990765584491e-05,1.0000011121797336,1.0000011121797336,7834316f3b56273f,7834316f3b56273f,True,True
nominal_heatup,15,91.99999999999999,91.99999999999999,92.0,92.0,1.4210854715202004e-14,-238414.82183393,optimal,-238389.81992151958,False,False,8000,8000,0.004688920599747348,0.006816363639742917,10.0,0,0,0.00010486727384718859,28.854869120086413,29.22872865371056,30.525195733226727,1.0025120171607514e-05,1.0025580580941484e-05,1.0027549973976509e-05,28.854869120086413,29.22872865371056,30.525195733226727,1.0025120171607514e-05,1.0025580580941484e-05,1.0027549973976509e-05,1.0000011981334345,1.0000011981334345,462c1250876883bb,462c1250876883bb,True,True
nominal_heatup,16,96.0,96.0,96.0,96.0,0.0,-245858.3444549164,optimal,-245834.68019544368,False,False,8000,8000,0.004965230290764566,0.007196158810143238,10.0,0,0,9.625160181234254e-05,29.132775953652295,29.571636766375924,31.069051976588753,1.0027093488534011e-05,1.0027723503453636e-05,1.0030397793205575e-05,29.132775953652295,29.571636766375924,31.069051976588753,1.0027093488534011e-05,1.0027723503453636e-05,1.0030397793205575e-05,1.0000013048593073,1.0000013048593073,008772fb4277ad19,008772fb4277ad19,True,True
nominal_heatup,17,100.0,100.0,100.00414536385335,100.0,0.0,-252940.85657528054,optimal,-252920.89497844313,False,False,8000,8000,0.008318436061315992,0.01211818499518813,10.0,1,0,,29.459001193484145,29.965072618383886,31.66868726952701,1.0029191757879237e-05,1.0030034571632905e-05,1.0033604465787608e-05,29.459001193484145,29.965072618383886,31.66868726952701,1.0029191757879237e-05,1.0030034571632905e-05,1.0033604465787608e-05,1.0000014368973875,1.0000014368973875,fae74bf2bc99669f,fae74bf2bc99669f,True,True
nominal_heatup,18,104.00000000000001,104.00000000000001,104.00409609386556,104.0,-1.4210854715202004e-14,-259645.93848475255,optimal,-259625.54743926815,False,False,8000,8000,0.007890343354915785,0.011494545338461393,10.0,1,0,,29.83518713825559,30.410166831002797,32.32388788410938,1.0031446486637145e-05,1.003255432719756e-05,1.0037257650833878e-05,29.83518713825559,30.410166831002797,32.32388788410938,1.0031446486637145e-05,1.003255432719756e-05,1.0037257650833878e-05,1.0000016000414043,1.0000016000414043,a2d55434f5188a28,a2d55434f5188a28,True,True
nominal_heatup,19,108.00000000000001,108.00000000000001,108.0,108.0,-1.4210854715202004e-14,-265957.5692540158,optimal,-265936.6619761487,False,False,8000,8000,0.007193120867142966,0.00942798313338944,10.0,0,0,7.861132858795628e-05,30.26259573381852,30.907740544433675,33.03432342597463,1.0033895682563044e-05,1.0035332213742204e-05,1.0041467676231376e-05,30.26259573381852,30.907740544433675,33.03432342597463,1.0033895682563044e-05,1.0035332213742204e-05,1.0041467676231376e-05,1.0000018017276073,1.0000018017276073,000965a73a098465,000965a73a098465,True,True
nominal_heatup,20,112.0,112.0,112.0,112.0,0.0,-271860.12251244276,optimal,-271844.9455257079,False,False,8000,8000,0.007554437359672761,0.009901003862904822,10.0,0,0,5.58264544079856e-05,30.742161255455276,31.45835074073644,33.799569377951165,1.0036585572181912e-05,1.0038429042220354e-05,1.0046374493864521e-05,30.742161255455276,31.45835074073644,33.799569377951165,1.0036585572181912e-05,1.0038429042220354e-05,1.0046374493864521e-05,1.000002051549314,1.000002051549314,62a5fbdd6bc61302,62a5fbdd6bc61302,True,True
