scenario,step,Ta_cvx_raw,Ta_cvx_applied,Ta_snn_raw,Ta_snn_applied,control_diff_e_u,cvxpy_objective,cvxpy_status,snn_objective,snn_converged,snn_verified_converged,snn_iterations,snn_max_iterations,snn_constraint_residual,snn_constraint_residual_scaled,snn_bound_violation,snn_clipped,cvxpy_clipped,objective_gap_snn_vs_reference,Tc1_cvx,Tc2_cvx,Tc3_cvx,alpha1_cvx,alpha2_cvx,alpha3_cvx,Tc1_snn,Tc2_snn,Tc3_snn,alpha1_snn,alpha2_snn,alpha3_snn,rho_Ap_cvx,rho_Ap_snn,qp_fingerprint_cvx,qp_fingerprint_snn,slew_saturated_cvx,slew_saturated_snn
nominal_heatup,15,91.99999999999999,91.99999999999999,93.19266266569696,92.0,1.4210854715202004e-14,-4493717.36531285,optimal,-4633104.101329554,False,False,8000,8000,2.115605017907228,3.2339326680391647,10.0,1,0,,28.854869120086413,29.22872865371056,30.525195733226727,1.0025120171607514e-05,1.0025580580941484e-05,1.0027549973976509e-05,28.854869120086413,29.22872865371056,30.525195733226727,1.0025120171607514e-05,1.0025580580941484e-05,1.0027549973976509e-05,1.0000011981334345,1.0000011981334345,ebef33b44ce06552,ebef33b44ce06552,True,True
nominal_heatup,16,95.99999999999999,95.99999999999999,96.81904261916841,96.0,1.4210854715202004e-14,-4594311.755577716,optimal,-4688112.928297137,False,False,8000,8000,1.627010498991197,2.4870627370243152,10.0,1,0,,29.132775953652295,29.571636766375924,31.069051976588753,1.0027093488534011e-05,1.0027723503453636e-05,1.0030397793205575e-05,29.132775953652295,29.571636766375924,31.069051976588753,1.0027093488534011e-05,1.0027723503453636e-05,1.0030397793205575e-05,1.0000013048593073,1.0000013048593073,716729da6f300e1d,716729da6f300e1d,True,True
nominal_heatup,17,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,0.0,-4682485.98775227,optimal,-4735431.093244105,False,False,8000,8000,1.0767555071121109,1.7143720195927106,10.0,0,0,,29.459001193484145,29.965072618383886,31.66868726952701,1.0029191757879237e-05,1.0030034571632905e-05,1.0033604465787608e-05,29.459001193484145,29.965072618383886,31.66868726952701,1.0029191757879237e-05,1.0030034571632905e-05,1.0033604465787608e-05,1.0000014368973875,1.0000014368973875,c535be98098fdc69,c535be98098fdc69,True,True
nominal_heatup,18,103.99999999999999,103.99999999999999,104.30662816906907,103.99999999999999,0.0,-4756573.33574245,optimal,-4786041.566693454,False,False,8000,8000,0.6719339646602833,1.047892190222921,10.0,1,0,,29.83518713825559,30.410166831002797,32.32388788410938,1.0031446486637145e-05,1.003255432719756e-05,1.0037257650833878e-05,29.83518713825559,30.410166831002797,32.32388788410938,1.0031446486637145e-05,1.003255432719756e-05,1.0037257650833878e-05,1.0000016000414043,1.0000016000414043,9a91f3304693adeb,9a91f3304693adeb,True,True
nominal_heatup,19,107.99999999999997,107.99999999999997,108.15558400392743,107.99999999999999,1.4210854715202004e-14,-4814879.122501915,optimal,-4827053.127887541,False,False,8000,8000,0.1911249548266909,0.352156527878833,10.0,1,0,,30.26259573381852,30.907740544433675,33.03432342597463,1.0033895682563044e-05,1.0035332213742204e-05,1.0041467676231376e-05,30.26259573381852,30.907740544433675,33.03432342597463,1.0033895682563044e-05,1.0035332213742204e-05,1.0041467676231376e-05,1.0000018017276073,1.0000018017276073,271a1217339d3f93,271a1217339d3f93,True,True
nominal_heatup,20,111.99999999999997,111.99999999999997,112.00000000000001,111.99999999999999,1.4210854715202004e-14,-4855717.335599005,optimal,-4858635.202419961,False,False,8000,8000,0.10685648234152723,0.16664446144659006,10.0,0,0,,30.742161255455276,31.45835074073644,33.799569377951165,1.0036585572181912e-05,1.0038429042220354e-05,1.0046374493864521e-05,30.742161255455276,31.45835074073644,33.799569377951165,1.0036585572181912e-05,1.0038429042220354e-05,1.0046374493864521e-05,1.000002051549314,1.000002051549314,b37c55d7e224df46,b37c55d7e224df46,True,True
nominal_heatup,21,115.99999999999999,115.99999999999999,115.99999999999999,115.99999999999999,0.0,-4877442.577002664,optimal,-4877957.039170211,False,False,8000,8000,0.019850139214085516,0.03127808914834418,10.0,0,0,,31.274537519628144,32.06232983559645,34.619125239305966,1.0039572851893256e-05,1.0041920221372836e-05,1.0052156935043224e-05,31.274537519628144,32.06232983559645,34.619125239305966,1.0039572851893256e-05,1.0041920221372836e-05,1.0052156935043224e-05,1.000002361942879,1.000002361942879,fead5dc0d9eaba3d,fead5dc0d9eaba3d,True,True
nominal_heatup,22,119.99999999999999,119.99999999999999,119.99999999999999,119.99999999999999,0.0,-4878477.418998424,optimal,-4878492.604569104,False,False,8000,8000,0.0045024119102379245,0.006525391419399007,10.0,0,0,-3.112768467568859e-06,31.860139431473698,32.71982012895055,35.492429218553006,1.0042927636276365e-05,1.0045900001126806e-05,1.0059045087611502e-05,31.860139431473698,32.71982012895055,35.492429218553006,1.0042927636276365e-05,1.0045900001126806e-05,1.0059045087611502e-05,1.0000027491075865,1.0000027491075865,f155121473c1bc2a,f155121473c1bc2a,True,True
nominal_heatup,23,123.99999999999997,123.99999999999997,124.00043076664973,123.99999999999999,1.4210854715202004e-14,-4857335.535405974,optimal,-4857323.784760533,False,False,8000,8000,0.0010501708513714902,0.001342915232112496,10.0,1,0,2.4191545663976928e-06,32.499179256904526,33.43080354993059,36.4188703028621,1.0046737327042226e-05,1.0050487067028725e-05,1.0067336928314506e-05,32.499179256904526,33.43080354993059,36.4188703028621,1.0046737327042226e-05,1.0050487067028725e-05,1.0067336928314506e-05,1.0000032342458494,1.0000032342458494,b36887c77e6584fc,b36887c77e6584fc,True,True
nominal_heatup,24,127.99999999999996,127.99999999999996,127.99999999999997,127.99999999999997,1.4210854715202004e-14,-4812641.025914493,optimal,-4812627.557969345,False,False,8000,8000,0.00038225829976568093,0.0004969394119429538,10.0,0,0,2.79845205069661e-06,33.19169804282029,34.195127258322415,37.39779823444413,1.005111170702066e-05,1.0055831947088486e-05,1.0077420781319361e-05,33.19169804282029,34.195127258322415,37.39779823444413,1.005111170702066e-05,1.0055831947088486e-05,1.0077420781319361e-05,1.0000038452434135,1.0000038452434135,d5404adde7097fca,d5404adde7097fca,True,True
nominal_heatup,25,130.0,130.0,130.0,130.0,0.0,-4743144.390473815,optimal,-4743133.6468084715,False,False,8000,8000,0.0003740741819484583,0.0004862999784736033,10.0,0,0,2.2650934611350895e-06,33.937592712032945,35.01252560136736,38.42853181431629,1.005618967429849e-05,1.0062126862556018e-05,1.0089805789359043e-05,33.937592712032945,35.01252560136736,38.42853181431629,1.005618967429849e-05,1.0062126862556018e-05,1.0089805789359043e-05,1.000004618956481,1.000004618956481,6cba46779df8dbf2,6cba46779df8dbf2,False,False
nominal_heatup,26,130.0,130.0,130.0,130.0,0.0,-4660857.028411634,optimal,-4660847.931314987,False,False,8000,8000,0.00036593714084176554,0.000475721746380664,10.0,0,0,1.9518077024489676e-06,34.73663933886757,35.88263890591762,39.51036584016606,1.0062148184087887e-05,1.0069618889944927e-05,1.0105163455459045e-05,34.73663933886757,35.88263890591762,39.51036584016606,1.0062148184087887e-05,1.0069618889944927e-05,1.0105163455459045e-05,1.000005604339681,1.000005604339681,aa85081d4662fd0d,aa85081d4662fd0d,False,False
nominal_heatup,27,130.0,130.0,130.0,130.0,0.0,-4578740.64713441,optimal,-4578733.882425736,False,False,8000,8000,0.00035801134762891706,0.00046541813803191445,10.0,0,0,1.4774168697994447e-06,35.588513092118006,36.80502953120535,40.64257692132614,1.0069214176848358e-05,1.007862763007317e-05,1.0124384554526784e-05,35.588513092118006,36.80502953120535,40.64257692132614,1.0069214176848358e-05,1.007862763007317e-05,1.0124384554526784e-05,1.0000068667446973,1.0000068667446973,51476bde513d5b14,51476bde513d5b14,False,False
nominal_heatup,28,130.0,130.0,130.00000000000003,130.0,0.0,-4497417.026190166,optimal,-4497412.043232379,False,False,8000,8000,0.0003501097478704196,0.00045514598162998965,10.0,0,0,1.1079599155972025e-06,36.49280528639048,37.77919556259234,41.824428360756755,1.00776805645182e-05,1.0089569039656569e-05,1.0148657494724979e-05,36.49280528639048,37.77919556259234,41.824428360756755,1.00776805645182e-05,1.0089569039656569e-05,1.0148657494724979e-05,1.0000084938573894,1.0000084938573894,87ab28af6659a705,87ab28af6659a705,False,False
nominal_heatup,29,130.0,130.0,130.0,130.0,0.0,-4416968.952529828,optimal,-4416966.372008075,False,False,8000,8000,0.00034224843066965605,0.00044492619222769036,10.0,0,0,5.842290903086014e-07,37.44903793778678,38.80458247844509,43.055174257720964,1.008792775660128e-05,1.0102987727945598e-05,1.0179576783908196e-05,37.44903793778678,38.80458247844509,43.055174257720964,1.008792775660128e-05,1.0102987727945598e-05,1.0179576783908196e-05,1.000010603941939,1.000010603941939,c8f6e8bb43083621,c8f6e8bb43083621,False,False
nominal_heatup,30,130.0,130.0,130.0,130.0,0.0,-4337463.228155296,optimal,-4337462.207072718,False,False,8000,8000,0.0003347764685770471,0.00043521256982348433,10.0,0,0,2.3541008292563342e-07,38.45667617246797,39.88059307969843,44.3262958722187,1.0100452783556139e-05,1.0119600936431953e-05,1.0219294017606023e-05,38.45667617246797,39.88059307969843,44.3262958722187,1.0100452783556139e-05,1.0119600936431953e-05,1.0219294017606023e-05,1.0000133502968045,1.0000133502968045,b50b91940052da80,b50b91940052da80,False,False
nominal_heatup,31,130.0,130.0,130.0,130.0,0.0,-4258954.0956230685,optimal,-4258954.147670666,False,False,8000,8000,0.00032804009083520214,0.0004264552140798017,10.0,0,0,-1.2220746238582678e-08,39.51513879282677,41.00370911940794,45.62384309440205,1.0115908887980325e-05,1.0140358723565776e-05,1.027064961864798e-05,39.51513879282677,41.00370911940794,45.62384309440205,1.0115908887980325e-05,1.0140358723565776e-05,1.027064961864798e-05,1.0000169276166246,1.0000169276166246,e424f985c8a10d33,e424f985c8a10d33,False,False
nominal_heatup,32,130.0,130.0,130.0,130.0,0.0,-4181485.864571804,optimal,-4181485.9156051544,False,False,8000,8000,0.0003244377484037386,0.0004217721409078834,10.0,0,0,-1.2204597080136228e-08,40.62166136640788,42.167626743408356,46.936965864865606,1.0135159609374298e-05,1.0166511340095578e-05,1.0337306087914461e-05,40.62166136640788,42.167626743408356,46.936965864865606,1.0135159609374298e-05,1.0166511340095578e-05,1.0337306087914461e-05,1.0000215859513406,1.0000215859513406,1cf7d8090a0a2d14,1cf7d8090a0a2d14,False,False
nominal_heatup,33,130.0,130.0,130.0,130.0,0.0,-4105090.8588292957,optimal,-4105090.9088745727,False,False,8000,8000,0.0003208944115868917,0.0004171657754001856,10.0,0,0,-1.2191027964715103e-08,41.77084845737516,43.36566791672194,48.25708836034172,1.0159342426202962e-05,1.0199689056691248e-05,1.0423972055584554e-05,41.77084845737516,43.36566791672194,48.25708836034172,1.0159342426202962e-05,1.0199689056691248e-05,1.0423972055584554e-05,1.00002764480365,1.00002764480365,3cb5db83858903e4,3cb5db83858903e4,False,False
nominal_heatup,34,130.0,130.0,130.0,130.0,0.0,-4029793.1559638185,optimal,-4029793.205046617,False,False,8000,8000,0.0003174096755884648,0.0004126355916982405,10.0,0,0,-1.2179979712030559e-08,42.956351227797434,44.59092597223202,49.57797689401695,1.018994412676557e-05,1.0242010082863206e-05,1.053668028779401e-05,42.956351227797434,44.59092597223202,49.57797689401695,1.018994412676557e-05,1.0242010082863206e-05,1.053668028779401e-05,1.0000355128009815,1.0000355128009815,905db1c63c9c5189,905db1c63c9c5189,False,False
nominal_heatup,35,130.0,130.0,130.0,130.0,0.0,-3955609.343254412,optimal,-3955604.4700707886,False,False,8000,8000,0.0013326117164496054,0.0018208085027007215,10.0,0,0,1.2319678715827399e-06,44.17140619546908,45.83695172260525,50.89495729321921,1.0228899307463622e-05,1.0296214244032106e-05,1.0683152902901279e-05,44.17140619546908,45.83695172260525,50.89495729321921,1.0228899307463622e-05,1.0296214244032106e-05,1.0683152902901279e-05,1.0000457117886863,1.0000457117886863,79b80c1c3494bf04,79b80c1c3494bf04,False,False
nominal_heatup,36,130.0,130.0,130.0,130.0,0.0,-3882548.6766458554,optimal,-3882536.6104270704,False,False,8000,8000,0.0014259213502469947,0.0020666023298305802,10.0,0,0,3.107808759125286e-06,45.40948352759255,47.097838917598104,52.2045545514495,1.0278713971231812e-05,1.036583429649087e-05,1.0873268743414286e-05,45.40948352759255,47.097838917598104,52.2045545514495,1.0278713971231812e-05,1.036583429649087e-05,1.0873268743414286e-05,1.000058908674502,1.000058908674502,11249ba5535d52ef,11249ba5535d52ef,False,False
