scenario,step,Ta_cvx_raw,Ta_cvx_applied,Ta_snn_raw,Ta_snn_applied,control_diff_e_u,cvxpy_objective,cvxpy_status,snn_objective,snn_converged,snn_verified_converged,snn_iterations,snn_max_iterations,snn_constraint_residual,snn_constraint_residual_scaled,snn_bound_violation,snn_clipped,cvxpy_clipped,objective_gap_snn_vs_reference,Tc1_cvx,Tc2_cvx,Tc3_cvx,alpha1_cvx,alpha2_cvx,alpha3_cvx,Tc1_snn,Tc2_snn,Tc3_snn,alpha1_snn,alpha2_snn,alpha3_snn,rho_Ap_cvx,rho_Ap_snn,qp_fingerprint_cvx,qp_fingerprint_snn,slew_saturated_cvx,slew_saturated_snn,build_ms_cvx,solve_ms_cvx,total_ms_cvx,build_ms_snn,solve_ms_snn,total_ms_snn
nominal_heatup,0,32.0,32.0,32.0,32.0,0.0,-95998.82400563429,optimal,-95995.60480447103,False,False,8000,8000,6.865136157330198e-07,9.949711712309295e-07,10.0,0,0,3.3533756237451254e-05,28.0,28.0,28.0,1e-05,1e-05,1e-05,28.0,28.0,28.0,1e-05,1e-05,1e-05,1.0000008521941652,1.0000008521941652,cf16d6dcdbba5e96,cf16d6dcdbba5e96,True,True,4.242500006512273,21.628599999530707,25.87110000604298,1.985000002605375,448.8811999981408,450.8662000007462
nominal_heatup,1,36.0,36.0,36.0,36.0,0.0,-106602.11836433185,optimal,-106599.55483196843,True,True,351,8000,6.114478381391564e-07,8.869759433594027e-07,10.0,0,0,2.4047668121123766e-05,28.000000056399145,28.000000056399145,28.000000056399145,1.0001630922571259e-05,1.0001630922571259e-05,1.0001630922571259e-05,28.000000056399145,28.000000056399145,28.000000056399145,1.0001630922571259e-05,1.0001630922571259e-05,1.0001630922571259e-05,1.0000008522669996,1.0000008522669996,2e328ea56c7cd9b6,2e328ea56c7cd9b6,True,True,2.2027000013622455,9.478100000706036,11.680800002068281,1.250099994649645,28.192600002512336,29.44269999716198
nominal_heatup,2,40.00000000000001,40.00000000000001,40.00000000000001,40.0,-7.105427357601002e-15,-117129.27120926857,optimal,-117127.32961954929,False,False,8000,8000,6.750023899826374e-07,9.791691724103657e-07,10.0,0,0,1.657646888110229e-05,28.000000112803107,28.000000112803107,28.000000091841084,1.0003261984532805e-05,1.0003261984532805e-05,1.0003261984532805e-05,28.000000112803107,28.000000112803107,28.000000091841084,1.0003261984532805e-05,1.0003261984532805e-05,1.0003261984532805e-05,1.0000008523398338,1.0000008523398338,27471e481eb0037c,27471e481eb0037c,True,True,1.7031999959726818,7.492299999285024,9.195499995257705,1.1517000020830892,407.9882000005455,409.13990000262856
nominal_heatup,3,44.00000000000001,44.00000000000001,44.0,44.0,-7.105427357601002e-15,-127560.71461505513,optimal,-127560.03208372107,True,True,501,8000,7.615793364834644e-07,9.623328454111402e-07,10.0,0,0,5.350638996362833e-06,28.00000016921189,28.00000016142088,28.000000128607986,1.0004893185885736e-05,1.0004893185885736e-05,1.0004893185878145e-05,28.00000016921189,28.00000016142088,28.000000128607986,1.0004893185885736e-05,1.0004893185885736e-05,1.0004893185878145e-05,1.000000852412668,1.000000852412668,bc7dc74b29c7a69b,bc7dc74b29c7a69b,True,True,0.9071999957086518,5.3597000005538575,6.266899996262509,0.8249000020441599,20.80500000010943,21.62990000215359
nominal_heatup,4,48.00000000000001,48.00000000000001,48.0,48.0,-7.105427357601002e-15,-137877.66932309937,optimal,-137877.65043286316,True,True,551,8000,5.533118638822998e-07,8.043587769179794e-07,10.0,0,0,1.3700722028503893e-07,28.00000021983408,28.000000208534534,28.00000016274716,1.0006524526631151e-05,1.0006524526628329e-05,1.0006524526608854e-05,28.00000021983408,28.000000208534534,28.00000016274716,1.0006524526631151e-05,1.0006524526628329e-05,1.0006524526608854e-05,1.000000852485502,1.000000852485502,167f22f2007b1b7b,167f22f2007b1b7b,True,True,0.8516000016243197,4.906499998469371,5.758100000093691,0.8091999989119358,20.986199997423682,21.795399996335618
nominal_heatup,5,52.000000000000014,52.000000000000014,51.99999999999999,51.99999999999999,-2.1316282072803006e-14,-148066.06891524495,optimal,-148066.0466483758,True,True,501,8000,6.522266957631473e-07,9.454483924642432e-07,10.0,0,0,1.5038468486542944e-07,28.00000026785304,28.000000252134775,28.015534364180088,1.0008156006768049e-05,1.0008156006761134e-05,1.0008156006725072e-05,28.00000026785304,28.000000252134775,28.015534364180088,1.0008156006768049e-05,1.0008156006761134e-05,1.0008156006725072e-05,1.0000008535389835,1.0000008535389835,f94c35af10199129,f94c35af10199129,True,True,0.9061000018846244,4.96259999636095,5.8686999982455745,0.8938999962992966,20.69570000458043,21.589600000879727
nominal_heatup,6,56.000000000000014,56.000000000000014,56.00000000000001,55.99999999999999,-2.1316282072803006e-14,-158106.71679597168,optimal,-158106.6979274649,True,True,451,8000,6.325447543531482e-07,9.190430025896035e-07,10.0,0,0,1.1934032356699093e-07,28.000000312592185,28.00577391978186,28.057459750004423,1.000978762629658e-05,1.000978762628397e-05,1.0009793262776227e-05,28.000000312592185,28.00577391978186,28.057459750004423,1.000978762629658e-05,1.000978762628397e-05,1.0009793262776227e-05,1.0000008566302483,1.0000008566302483,bdbed9df60d2468d,bdbed9df60d2468d,True,True,0.8588999990024604,5.1404999976512045,5.999399996653665,0.8063999994192272,18.093799997586757,18.900199997005984
nominal_heatup,7,60.00000000000002,60.00000000000002,59.999999999999986,59.999999999999986,-3.552713678800501e-14,-167979.73405210197,optimal,-167979.71166282002,True,True,301,8000,6.204440836654612e-07,9.014615818259131e-07,10.0,0,0,1.332856133907833e-07,28.004292153377847,28.022838296226645,28.135109522234508,1.001141938521665e-05,1.0011421478125678e-05,1.0011445967490528e-05,28.004292153377847,28.022838296226645,28.135109522234508,1.001141938521665e-05,1.0011421478125678e-05,1.0011445967490528e-05,1.0000008630022164,1.0000008630022164,c9740d78ed75e56b,c9740d78ed75e56b,True,True,0.7905999955255538,4.673300005379133,5.463900000904687,0.7810000024619512,12.797700001101475,13.578700003563426
nominal_heatup,8,64.00000000000003,64.00000000000003,63.999999999999986,63.999999999999986,-4.263256414560601e-14,-177665.40055867797,optimal,-177664.62262563466,False,False,8000,8000,6.111417434340183e-07,8.879459256760924e-07,10.0,0,0,4.378641202781661e-06,28.01807839987666,28.057673407757182,28.254795432951447,1.0013052839181873e-05,1.0013061671269752e-05,1.0013127537634136e-05,28.01807839987666,28.057673407757182,28.254795432951447,1.0013052839181873e-05,1.0013061671269752e-05,1.0013127537634136e-05,1.0000008738881738,1.0000008738881738,862a0937b312a227,862a0937b312a227,True,True,1.574300003994722,5.860799996298738,7.43510000029346,0.8091999989119358,303.7086999975145,304.5178999964264
nominal_heatup,9,68.00000000000003,68.00000000000003,67.99999999999999,67.99999999999999,-4.263256414560601e-14,-187142.34228568219,optimal,-187135.54244615912,False,False,8000,8000,6.305568831521668e-07,9.140364634063758e-07,10.0,0,0,3.633512031499705e-05,28.047511223592842,28.11622195693027,28.42117301871507,1.0014691440074805e-05,1.0014714737108251e-05,1.0014854481868797e-05,28.047511223592842,28.11622195693027,28.42117301871507,1.0014691440074805e-05,1.0014714737108251e-05,1.0014854481868797e-05,1.0000008905547881,1.0000008905547881,93173fa1627b55b6,93173fa1627b55b6,True,True,0.8499999967170879,5.026999999245163,5.876999995962251,0.7982000024640001,313.97170000127517,314.76990000373917
