scenario,step,Ta_cvx_raw,Ta_cvx_applied,Ta_snn_raw,Ta_snn_applied,control_diff_e_u,cvxpy_objective,cvxpy_status,snn_objective,snn_converged,snn_verified_converged,snn_iterations,snn_max_iterations,snn_constraint_residual,snn_constraint_residual_scaled,snn_bound_violation,snn_clipped,cvxpy_clipped,objective_gap_snn_vs_reference,Tc1_cvx,Tc2_cvx,Tc3_cvx,alpha1_cvx,alpha2_cvx,alpha3_cvx,Tc1_snn,Tc2_snn,Tc3_snn,alpha1_snn,alpha2_snn,alpha3_snn,rho_Ap_cvx,rho_Ap_snn,qp_fingerprint_cvx,qp_fingerprint_snn,slew_saturated_cvx,slew_saturated_snn
nominal_heatup,0,31.999999999999996,31.999999999999996,32.0,32.0,3.552713678800501e-15,-2198585.5400207387,optimal,-3213356.118589756,False,False,8000,8000,12.010358738239681,18.924858028995928,0.0,0,0,,28.0,28.0,28.0,1e-05,1e-05,1e-05,28.0,28.0,28.0,1e-05,1e-05,1e-05,1.0000008521941652,0.9999000000003917,5f7c8079bd260ecf,5f7c8079bd260ecf,True,True
nominal_heatup,1,36.0,36.0,40.49902888613858,36.0,0.0,-2379544.5573612694,optimal,-3366419.530674624,False,False,8000,8000,10.860178786225163,16.765420047374878,0.0,1,0,,28.000000056399145,28.000000056399145,28.000000056399145,1.0001630922571259e-05,1.0001630922571259e-05,1.0001630922571259e-05,28.000000056399145,28.000000056399145,28.000000056399145,1.0001630922571259e-05,1.0001630922571259e-05,1.0001630922571259e-05,1.0000008522669996,0.9999000000003914,4f836d205da94698,6ee12f1fec92c62d,True,True
nominal_heatup,2,40.0,40.0,44.28316376834187,40.0,0.0,-2557999.5068418547,optimal,-3488574.599056136,False,False,8000,8000,10.794514512088824,16.500590974947627,0.0,1,0,,28.000000112803107,28.000000112803107,28.000000091841084,1.0003261984532805e-05,1.0003261984532805e-05,1.0003261984532805e-05,28.000000112803107,28.000000112803107,28.000000091841084,1.0003261984532805e-05,1.0003261984532805e-05,1.0003261984532805e-05,1.0000008523398338,0.9999000000003917,56f732089cf031fd,56f732089cf031fd,True,True
nominal_heatup,3,44.0,44.0,48.02641275708783,44.0,0.0,-2733615.558104433,optimal,-3594678.7876826935,False,False,8000,8000,9.680962336226003,14.94500258463935,0.0,1,0,,28.00000016921189,28.00000016142088,28.000000128607986,1.0004893185885736e-05,1.0004893185885736e-05,1.0004893185878145e-05,28.00000016921189,28.00000016142088,28.000000128607986,1.0004893185885736e-05,1.0004893185885736e-05,1.0004893185878145e-05,1.000000852412668,0.9999000000003918,73d2fedc8f893055,73d2fedc8f893055,True,True
nominal_heatup,4,48.0,48.0,52.643636672957776,48.0,0.0,-2906059.851470105,optimal,-3690641.0589576433,False,False,8000,8000,9.483943631269142,14.790367706658005,1.2152449247730033,1,0,,28.00000021983408,28.000000208534534,28.00000016274716,1.0006524526631151e-05,1.0006524526628329e-05,1.0006524526608854e-05,28.00000021983408,28.000000208534534,28.00000016274716,1.0006524526631151e-05,1.0006524526628329e-05,1.0006524526608854e-05,1.000000852485502,0.9999000000003919,8c4d95413aaeb4d2,8c4d95413aaeb4d2,True,True
nominal_heatup,5,52.0,52.0,51.99999999999999,51.99999999999999,-7.105427357601002e-15,-3075002.7437421586,optimal,-3781854.688130987,False,False,8000,8000,9.188745880006607,14.33000190777815,0.0,0,0,,28.00000026785304,28.000000252134775,28.015534364180088,1.0008156006768049e-05,1.0008156006761134e-05,1.0008156006725072e-05,28.00000026785304,28.000000252134775,28.015534364180088,1.0008156006768049e-05,1.0008156006761134e-05,1.0008156006725072e-05,1.0000008535389835,0.9999000000003935,903293a58f35d33d,bb1d7404d04da75a,True,True
nominal_heatup,6,55.99999999999999,55.99999999999999,55.99999999999998,55.99999999999998,-1.4210854715202004e-14,-3240118.7683481663,optimal,-3867032.4049375784,False,False,8000,8000,7.7758649025921045,11.774968247806513,0.0,0,0,,28.000000312592185,28.00577391978186,28.057459750004423,1.000978762629658e-05,1.000978762628397e-05,1.0009793262776227e-05,28.000000312592185,28.00577391978186,28.057459750004423,1.000978762629658e-05,1.000978762628397e-05,1.0009793262776227e-05,1.0000008566302483,0.999900000000395,7b5ca0546bd133c7,7b5ca0546bd133c7,True,True
nominal_heatup,7,60.0,60.0,63.60176365984886,59.99999999999998,-2.1316282072803006e-14,-3401087.3747966266,optimal,-3976824.0351366415,False,False,8000,8000,6.749138264998223,10.220199266259534,0.0,1,0,,28.004292153377847,28.022838296226645,28.135109522234508,1.001141938521665e-05,1.0011421478125678e-05,1.0011445967490528e-05,28.004292153377847,28.022838296226645,28.135109522234508,1.001141938521665e-05,1.0011421478125678e-05,1.0011445967490528e-05,1.0000008630022164,0.9999000000004014,3e298ab1470acbe1,3e298ab1470acbe1,True,True
nominal_heatup,8,64.0,64.0,67.33234451395575,63.99999999999998,-2.1316282072803006e-14,-3557593.4863152155,optimal,-4083225.4924267777,False,False,8000,8000,6.6979942494093905,10.554105254941572,2.842170943040401e-14,1,0,,28.01807839987666,28.057673407757182,28.254795432951447,1.0013052839181873e-05,1.0013061671269752e-05,1.0013127537634136e-05,28.01807839987666,28.057673407757182,28.254795432951447,1.0013052839181873e-05,1.0013061671269752e-05,1.0013127537634136e-05,1.0000008738881738,0.9999000000004111,98436667f5f347a3,98436667f5f347a3,True,True
nominal_heatup,9,68.0,68.0,67.99999999999999,67.99999999999997,-2.842170943040401e-14,-3709327.9124762886,optimal,-4141369.689979089,False,False,8000,8000,4.462637431057544,7.105253376034403,2.842170943040401e-14,0,0,,28.047511223592842,28.11622195693027,28.42117301871507,1.0014691440074805e-05,1.0014714737108251e-05,1.0014854481868797e-05,28.047511223592842,28.11622195693027,28.42117301871507,1.0014691440074805e-05,1.0014714737108251e-05,1.0014854481868797e-05,1.0000008905547881,0.9999000000004272,0df178a0528a63d3,0df178a0528a63d3,True,True
nominal_heatup,10,72.0,72.0,73.90976068342209,71.99999999999997,-2.842170943040401e-14,-3855987.643942374,optimal,-4232292.876245406,False,False,8000,8000,2.811003737839002,4.3226467224769465,2.842170943040401e-14,1,0,,28.098587088330618,28.204026095810903,28.637444447596287,1.0016340922523065e-05,1.0016389563010768e-05,1.0016646422525322e-05,28.098587088330618,28.204026095810903,28.637444447596287,1.0016340922523065e-05,1.0016389563010768e-05,1.0016646422525322e-05,1.0000009143124624,0.9999000000004492,4fb94bd9e1c6992e,4fb94bd9e1c6992e,True,True
