scenario,step,Ta_cvx_raw,Ta_cvx_applied,Ta_snn_raw,Ta_snn_applied,control_diff_e_u,cvxpy_objective,cvxpy_status,snn_objective,snn_converged,snn_verified_converged,snn_iterations,snn_max_iterations,snn_constraint_residual,snn_constraint_residual_scaled,snn_bound_violation,snn_clipped,cvxpy_clipped,objective_gap_snn_vs_reference,Tc1_cvx,Tc2_cvx,Tc3_cvx,alpha1_cvx,alpha2_cvx,alpha3_cvx,Tc1_snn,Tc2_snn,Tc3_snn,alpha1_snn,alpha2_snn,alpha3_snn,rho_Ap_cvx,rho_Ap_snn,qp_fingerprint_cvx,qp_fingerprint_snn,slew_saturated_cvx,slew_saturated_snn,build_ms_cvx,solve_ms_cvx,total_ms_cvx,build_ms_snn,solve_ms_snn,total_ms_snn
nominal_heatup,0,32.0,32.0,32.0,32.0,0.0,-95998.82400563429,optimal,-95995.60480447102,False,False,8000,8000,6.865136157330198e-07,9.949711712309295e-07,10.0,0,0,3.353375623760284e-05,28.0,28.0,28.0,1e-05,1e-05,1e-05,28.0,28.0,28.0,1e-05,1e-05,1e-05,1.0000008521941652,1.0000008521941652,d66d433b3ecc2bc7,d66d433b3ecc2bc7,True,True,4.095199998118915,22.438500003772788,26.533700001891702,2.212799998233095,297.65169999882346,299.86449999705656
nominal_heatup,1,36.0,36.0,36.0,36.0,0.0,-106602.11836433184,optimal,-106599.55483196842,True,True,351,8000,6.114478381391564e-07,8.869759433594027e-07,10.0,0,0,2.4047668121260274e-05,28.000000056399145,28.000000056399145,28.000000056399145,1.0001630922571259e-05,1.0001630922571259e-05,1.0001630922571259e-05,28.000000056399145,28.000000056399145,28.000000056399145,1.0001630922571259e-05,1.0001630922571259e-05,1.0001630922571259e-05,1.0000008522669996,1.0000008522669996,82e9f287618b328d,82e9f287618b328d,True,True,0.8627000061096624,4.966199994669296,5.828900000778958,0.8760999990045093,12.816200003726408,13.692300002730917
nominal_heatup,2,40.00000000000001,40.00000000000001,40.00000000000001,40.0,-7.105427357601002e-15,-117129.27120926857,optimal,-117127.32961954929,False,False,8000,8000,6.750023899826374e-07,9.791691724103657e-07,10.0,0,0,1.657646888110229e-05,28.000000112803107,28.000000112803107,28.000000091841084,1.0003261984532805e-05,1.0003261984532805e-05,1.0003261984532805e-05,28.000000112803107,28.000000112803107,28.000000091841084,1.0003261984532805e-05,1.0003261984532805e-05,1.0003261984532805e-05,1.0000008523398338,1.0000008523398338,af56523fe75d9dab,af56523fe75d9dab,True,True,0.7943999953567982,4.63560000207508,5.429999997431878,0.7554999974672683,296.19519999687327,296.95069999434054
nominal_heatup,3,44.00000000000001,44.00000000000001,44.0,44.0,-7.105427357601002e-15,-127560.71461505513,optimal,-127560.03208372105,True,True,501,8000,7.615793364834644e-07,9.623328169894307e-07,10.0,0,0,5.350638996819145e-06,28.00000016921189,28.00000016142088,28.000000128607986,1.0004893185885736e-05,1.0004893185885736e-05,1.0004893185878145e-05,28.00000016921189,28.00000016142088,28.000000128607986,1.0004893185885736e-05,1.0004893185885736e-05,1.0004893185878145e-05,1.000000852412668,1.000000852412668,93392764ca1685f2,93392764ca1685f2,True,True,0.7846000007702969,5.861999998160172,6.646599998930469,0.8862999966368079,16.946600000665057,17.832899997301865
nominal_heatup,4,48.00000000000001,48.00000000000001,47.99999999999999,47.99999999999999,-1.4210854715202004e-14,-137877.66932309937,optimal,-137877.65043286313,True,True,551,8000,5.533118496714451e-07,8.043588053396888e-07,10.0,0,0,1.3700722070720777e-07,28.00000021983408,28.000000208534534,28.00000016274716,1.0006524526631151e-05,1.0006524526628329e-05,1.0006524526608854e-05,28.00000021983408,28.000000208534534,28.00000016274716,1.0006524526631151e-05,1.0006524526628329e-05,1.0006524526608854e-05,1.000000852485502,1.000000852485502,c77fd0f1b15a80dd,c77fd0f1b15a80dd,True,True,0.7975999978953041,4.755100002512336,5.55270000040764,0.782199997047428,17.53150000149617,18.313699998543598
nominal_heatup,5,52.000000000000014,52.000000000000014,51.999999999999986,51.999999999999986,-2.842170943040401e-14,-148066.0689152449,optimal,-148066.0466483758,True,True,501,8000,6.522266886577199e-07,9.454483782533885e-07,10.0,0,0,1.5038468466886973e-07,28.00000026785304,28.000000252134775,28.015534364180088,1.0008156006768049e-05,1.0008156006761134e-05,1.0008156006725072e-05,28.00000026785304,28.000000252134775,28.015534364180088,1.0008156006768049e-05,1.0008156006761134e-05,1.0008156006725072e-05,1.0000008535389835,1.0000008535389835,83e0349061bd5b68,83e0349061bd5b68,True,True,0.775400003476534,4.692599999543745,5.468000003020279,0.7924000019556843,16.390599994338118,17.182999996293802
nominal_heatup,6,56.000000000000014,56.000000000000014,55.99999999999999,55.999999999999986,-2.842170943040401e-14,-158106.7167959717,optimal,-158106.6979274649,True,True,451,8000,6.325447401422934e-07,9.190429883787488e-07,10.0,0,0,1.193403233829138e-07,28.000000312592185,28.00577391978186,28.057459750004423,1.000978762629658e-05,1.000978762628397e-05,1.0009793262776227e-05,28.000000312592185,28.00577391978186,28.057459750004423,1.000978762629658e-05,1.000978762628397e-05,1.0009793262776227e-05,1.0000008566302483,1.0000008566302483,b1b073f8a21e2c7b,b1b073f8a21e2c7b,True,True,0.8116999961202964,4.7590000031050295,5.570699999225326,0.8605000039096922,14.592300001822878,15.45280000573257
nominal_heatup,7,60.00000000000002,60.00000000000002,60.0,59.999999999999986,-3.552713678800501e-14,-167979.734052102,optimal,-167979.71166282005,True,True,301,8000,6.204440836654612e-07,9.014615676150584e-07,10.0,0,0,1.332856132175253e-07,28.004292153377847,28.022838296226645,28.135109522234508,1.001141938521665e-05,1.0011421478125678e-05,1.0011445967490528e-05,28.004292153377847,28.022838296226645,28.135109522234508,1.001141938521665e-05,1.0011421478125678e-05,1.0011445967490528e-05,1.0000008630022164,1.0000008630022164,4e886cc67c45b669,4e886cc67c45b669,True,True,0.788499994087033,4.689700006565545,5.478200000652578,0.7639999967068434,10.272300001815893,11.036299998522736
nominal_heatup,8,64.00000000000003,64.00000000000003,63.999999999999986,63.999999999999986,-4.263256414560601e-14,-177665.40055867797,optimal,-177664.62262563463,False,False,8000,8000,6.111417434340183e-07,8.879459256760924e-07,10.0,0,0,4.3786412029454735e-06,28.01807839987666,28.057673407757182,28.254795432951447,1.0013052839181873e-05,1.0013061671269752e-05,1.0013127537634136e-05,28.01807839987666,28.057673407757182,28.254795432951447,1.0013052839181873e-05,1.0013061671269752e-05,1.0013127537634136e-05,1.0000008738881738,1.0000008738881738,a57c6f366ee02b99,a57c6f366ee02b99,True,True,0.7809999951859936,4.959400001098402,5.7403999962843955,0.8195999980671331,261.50670000060927,262.3262999986764
nominal_heatup,9,68.00000000000003,68.00000000000003,67.99999999999997,67.99999999999997,-5.684341886080802e-14,-187142.3422856822,optimal,-187135.5424461591,False,False,8000,8000,6.305568547304574e-07,9.140364207738116e-07,10.0,0,0,3.6335120315152566e-05,28.047511223592842,28.11622195693027,28.42117301871507,1.0014691440074805e-05,1.0014714737108251e-05,1.0014854481868797e-05,28.047511223592842,28.11622195693027,28.42117301871507,1.0014691440074805e-05,1.0014714737108251e-05,1.0014854481868797e-05,1.0000008905547881,1.0000008905547881,0b6ea4586a87b064,0b6ea4586a87b064,True,True,0.8030000026337802,5.425700001069345,6.228700003703125,1.0886999953072518,282.43169999768725,283.5203999929945
