scenario,step,Ta_cvx_raw,Ta_cvx_applied,Ta_snn_raw,Ta_snn_applied,control_diff_e_u,cvxpy_objective,cvxpy_status,snn_objective,snn_converged,snn_verified_converged,snn_convergence_reason,snn_convergence_reason_class,snn_kkt_residual,snn_kkt_tolerance,snn_projection_budget_exhausted,snn_relative_degree,snn_n_grad_rows_kept,snn_unactionable_predicted_violation_degC,snn_iterations,snn_max_iterations,snn_constraint_residual,snn_constraint_residual_scaled,snn_bound_violation,snn_clipped,cvxpy_clipped,objective_gap_snn_vs_reference,Tc1_cvx,Tc2_cvx,Tc3_cvx,alpha1_cvx,alpha2_cvx,alpha3_cvx,Tc1_snn,Tc2_snn,Tc3_snn,alpha1_snn,alpha2_snn,alpha3_snn,rho_Ap_cvx,rho_Ap_snn,qp_fingerprint_cvx,qp_fingerprint_snn,slew_saturated_cvx,slew_saturated_snn,build_ms_cvx,solve_ms_cvx,total_ms_cvx,build_ms_snn,solve_ms_snn,total_ms_snn
nominal_heatup,0,32.0,32.0,32.0,32.0,0.0,-95998.82400512494,optimal,-95995.60480396192,False,False,max_iterations,max_iterations,0.01313055188238663,0.07645254018157442,False,5,5,0.0,8000,8000,6.865136228384472e-07,9.949711854417842e-07,10.0,0,0,3.353375623490067e-05,28.0,28.0,28.0,1e-05,1e-05,1e-05,28.0,28.0,28.0,1e-05,1e-05,1e-05,1.0000008521941652,1.0000008521941652,2dff947584e37cd8,2dff947584e37cd8,True,True,5.4444000124931335,25.322099987533875,30.76650000002701,2.34759999148082,617.992100000265,620.3396999917459
nominal_heatup,1,36.0,36.0,36.0,36.0,0.0,-106602.11834510237,optimal,-106599.55481274643,True,True,converged(kkt(residual=9.46e-03<=tol=7.67e-02); obj_plateau(range=1.17e-10)),converged,0.00946192876202397,0.07672454183914508,False,5,5,0.0,351,8000,6.114478381391564e-07,8.869759353657969e-07,10.0,0,0,2.404766805543362e-05,28.000000056399145,28.000000056399145,28.000000056399145,1.0001630922571259e-05,1.0001630922571259e-05,1.0001630922571259e-05,28.000000056399145,28.000000056399145,28.000000056399145,1.0001630922571259e-05,1.0001630922571259e-05,1.0001630922571259e-05,1.0000008522669996,1.0000008522669996,7deb6d341e85e86e,7deb6d341e85e86e,True,True,2.928999994765036,15.7725000026403,18.701499997405335,2.8082999924663454,30.904700004612096,33.71299999707844
nominal_heatup,2,40.0,40.0,40.0,40.0,0.0,-117129.27117072618,optimal,-117127.32958102174,False,False,max_iterations,max_iterations,0.006558336293111593,0.07696517179286803,False,5,5,0.0,8000,8000,6.750023473500733e-07,9.791691262250879e-07,10.0,0,0,1.6576468760082554e-05,28.000000112803107,28.000000112803107,28.000000091841084,1.0003261984532805e-05,1.0003261984532805e-05,1.0003261984532805e-05,28.000000112803107,28.000000112803107,28.000000091841084,1.0003261984532805e-05,1.0003261984532805e-05,1.0003261984532805e-05,1.0000008523398338,1.0000008523398338,dea493021349b947,dea493021349b947,True,True,3.763399989111349,14.409200011868961,18.17260000098031,4.188599996268749,640.6692000018666,644.8577999981353
nominal_heatup,3,44.0,44.0,44.0,44.0,0.0,-127560.7145447529,optimal,-127560.03201344592,True,True,converged(kkt(residual=2.13e-03<=tol=7.72e-02); obj_plateau(range=4.56e-16)),converged,0.0021290285680746683,0.07717179203441876,False,5,5,0.0,501,8000,7.615793506943191e-07,9.623327761332234e-07,10.0,0,0,5.3506387871259956e-06,28.00000016921189,28.00000016142088,28.000000128607986,1.0004893185885736e-05,1.0004893185885736e-05,1.0004893185878145e-05,28.00000016921189,28.00000016142088,28.000000128607986,1.0004893185885736e-05,1.0004893185885736e-05,1.0004893185878145e-05,1.000000852412668,1.000000852412668,0edcd0738c543a27,0edcd0738c543a27,True,True,2.07129999762401,7.847800006857142,9.919100004481152,2.1856000093976036,25.420299993129447,27.60590000252705
nominal_heatup,4,48.0,48.0,48.0,48.0,0.0,-137877.66920410897,optimal,-137877.65031387296,True,True,converged(kkt(residual=1.07e-03<=tol=7.73e-02); obj_plateau(range=2.01e-08)),converged,0.001071169199391304,0.07734236187294435,False,5,5,0.0,551,8000,5.533117999334536e-07,8.043587955697262e-07,10.0,0,0,1.3700721892568705e-07,28.00000021983408,28.000000208534534,28.00000016274716,1.0006524526631151e-05,1.0006524526628329e-05,1.0006524526608854e-05,28.00000021983408,28.000000208534534,28.00000016274716,1.0006524526631151e-05,1.0006524526628329e-05,1.0006524526608854e-05,1.000000852485502,1.000000852485502,680eee491494ebde,680eee491494ebde,True,True,2.1115000126883388,8.977899997262284,11.089400009950623,2.428100007819012,38.88330000336282,41.31140001118183
nominal_heatup,5,52.0,52.0,51.99999999999999,51.99999999999999,-7.105427357601002e-15,-148066.06872664744,optimal,-148066.04645978825,True,True,converged(kkt(residual=2.82e-03<=tol=7.75e-02); obj_plateau(range=2.19e-08)),converged,0.0028238830587717636,0.07747532435764008,False,5,5,0.0,501,8000,6.522267455011388e-07,9.454484635185167e-07,10.0,0,0,1.5038468328793262e-07,28.00000026785304,28.000000252134775,28.015534364180088,1.0008156006768049e-05,1.0008156006761134e-05,1.0008156006725072e-05,28.00000026785304,28.000000252134775,28.015534364180088,1.0008156006768049e-05,1.0008156006761134e-05,1.0008156006725072e-05,1.0000008535389835,1.0000008535389835,7fcaea07eedb7f3f,7fcaea07eedb7f3f,True,True,2.4883000005502254,8.359799991012551,10.848099991562776,3.061600000364706,28.87429999827873,31.935899998643436
nominal_heatup,6,56.0,56.0,55.99999999999999,55.99999999999999,-7.105427357601002e-15,-158106.7165118793,optimal,-158106.6976433849,True,True,converged(kkt(residual=4.01e-03<=tol=7.76e-02); obj_plateau(range=1.77e-08)),converged,0.0040072790213808935,0.07756951146146501,False,5,5,0.0,451,8000,6.325446832988746e-07,9.190428951200147e-07,10.0,0,0,1.193403212043375e-07,28.000000312592185,28.00577391978186,28.057459750004423,1.000978762629658e-05,1.000978762628397e-05,1.0009793262776227e-05,28.000000312592185,28.00577391978186,28.057459750004423,1.000978762629658e-05,1.000978762628397e-05,1.0009793262776227e-05,1.0000008566302483,1.0000008566302483,d021821520a1ff94,d021821520a1ff94,True,True,2.8067999955965206,9.761200009961613,12.568000005558133,2.438999988953583,29.826400001184084,32.26539999013767
nominal_heatup,7,60.0,60.0,59.99999999999998,59.99999999999998,-2.1316282072803006e-14,-167979.73364055506,optimal,-167979.7112512882,True,True,converged(kkt(residual=5.72e-03<=tol=7.76e-02); obj_plateau(range=1.95e-08)),converged,0.005715923154556874,0.0776240733607983,False,5,5,0.0,301,8000,6.204439984003329e-07,9.014614565927559e-07,10.0,0,0,1.3328560037645516e-07,28.004292153377847,28.022838296226645,28.135109522234508,1.001141938521665e-05,1.0011421478125678e-05,1.0011445967490528e-05,28.004292153377847,28.022838296226645,28.135109522234508,1.001141938521665e-05,1.0011421478125678e-05,1.0011445967490528e-05,1.0000008630022164,1.0000008630022164,1fcae77276133a49,1fcae77276133a49,True,True,2.9940000094939023,9.94219999120105,12.936200000694953,2.326100002392195,19.50909999141004,21.835199993802235
nominal_heatup,8,64.0,64.0,64.0,63.99999999999998,-2.1316282072803006e-14,-177665.39997974408,optimal,-177664.62204661613,False,False,max_iterations,max_iterations,0.006731265545315815,0.07763842165555288,False,5,5,0.0,8000,8000,6.111417008014541e-07,8.879458581745325e-07,10.0,0,0,4.378641784332362e-06,28.01807839987666,28.057673407757182,28.254795432951447,1.0013052839181873e-05,1.0013061671269752e-05,1.0013127537634136e-05,28.01807839987666,28.057673407757182,28.254795432951447,1.0013052839181873e-05,1.0013061671269752e-05,1.0013127537634136e-05,1.0000008738881738,1.0000008738881738,fa7da7a4150261e1,fa7da7a4150261e1,True,True,2.8449999954318628,9.827100002439693,12.672099997871555,3.358199988724664,451.0322999994969,454.39049998822156
nominal_heatup,9,67.99999999999999,67.99999999999999,67.99999999999997,67.99999999999997,-1.4210854715202004e-14,-187142.34148828022,optimal,-187135.54164842775,False,False,max_iterations,max_iterations,0.0206577702340634,0.07761218466603557,False,5,5,0.0,8000,8000,6.305568689413121e-07,9.140364349846664e-07,10.0,0,0,3.633512165316918e-05,28.047511223592842,28.11622195693027,28.42117301871507,1.0014691440074805e-05,1.0014714737108251e-05,1.0014854481868797e-05,28.047511223592842,28.11622195693027,28.42117301871507,1.0014691440074805e-05,1.0014714737108251e-05,1.0014854481868797e-05,1.0000008905547881,1.0000008905547881,7ff7f670344ac907,ddec85241e2b9cda,True,True,1.4116999955149367,7.4643999978434294,8.876099993358366,2.5114999880315736,441.5985000086948,444.1099999967264
